Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Février 2024 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Castelnau-le-Lez 34170; 2 980
Castelsarrasin 82100; 1 790
Castres 81100; 4 560
Castries 34160;  630
Caudan 56850;  470
Caudebec-lès-Elbeuf 76320; 1 230
Caudry 59540; 2 170
Caumont-sur-Durance 84510;  650
Caussade 82300;  900
Cavaillon 84300; 4 350
Cavalaire-sur-Mer 83240;  860
Cayenne 97300; 8 000
Cazouls-lès-Béziers 34370;  550
Cébazat 63118;  600
Cenon 33150; 3 550
Céret 66400;  940
Cergy 95000; 8 180
Cernay 68700; 1 060
Cesson 77240;  760
Cesson-Sévigné 35510; 1 400
Cessy 01170;  380
Cestas 33610;  970
Ceyrat 63122;  380
Chabeuil 26120;  560
Chagny 71150;  480
Châlette-sur-Loing 45120; 1 890
Challans 85300; 1 940
Challes-les-Eaux 73190;  390
Chalonnes-sur-Loire 49290;  490
Châlons-en-Champagne 51000; 4 850
Chalon-sur-Saône 71100; 5 590
Chamalières 63400; 1 410
Chambéry 73000; 5 900
Chambly 60230;  800
Chambourcy 78240;  360
Chambray-lès-Tours 37170; 1 200
Chamonix-Mont-Blanc 74400;  660
Champagne-au-Mont-d'Or 69410;  460
Champagne-sur-Oise 95660;  370
Champagne-sur-Seine 77430;  690
Champagnole 39300;  590
Champigneulles 54250;  650
Champigny-sur-Marne 94500; 7 500
Champniers 16430;  340
Champs-sur-Marne 77420; 2 210
Changé 53810;  370
Changé 72560;  420
Chanteloup-les-Vignes 78570; 1 130
Chantepie 35135;  990
Chantilly 60500;  820
Chantonnay 85110;  710
Chanverrie 85130;  370
Chaponost 69630;  540
Charbonnières-les-Bains 69260;  370
Charenton-le-Pont 94220; 2 280
Charleville-Mézières 08000; 6 450
Charnay-lès-Mâcon 71850;  610
Chartres 28000; 4 110
Chartres-de-Bretagne 35131;  830
Charvieu-Chavagneux 38230;  820
Chasse-sur-Rhône 38670;  490
Chassieu 69680;  710
Château-Arnoux-Saint-Auban 04160;  580
Châteaubourg 35220;  510
Châteaubriant 44110; 1 040
Châteaudun 28200; 1 390
Châteaugiron 35410;  660
Château-Gontier 53200; 1 270
Châteaulin 29150;  470
Châteauneuf-les-Martigues 13220; 1 560
Châteauneuf-sur-Loire 45110;  600
Châteaurenard 13160; 1 940
Château-Renault 37110;  450
Châteauroux 36000; 4 710
Château-Thierry 02400; 2 180
Châtelaillon-Plage 17340;  560
Châtel-Guyon 63140;  490
Châtellerault 86100; 3 320
Châtenay-Malabry 92290; 2 590
Châtenoy-le-Royal 71880;  560
Châtillon 92320; 2 660
Châtillon-sur-Chalaronne 01400;  400
Châtillon-sur-Seine 21400;  480
Chatou 78400; 1 970
Chatuzange-le-Goubet 26300;  500
Chaumes-en-Retz 44320;  570
Chaumont 52000; 1 840
Chauny 02300; 1 500
Chauray 79180;  460
Chauvigny 86300;  510
Chavanoz 38230;  430
Chaville 92370; 1 320
Chazelles-sur-Lyon 42140;  420
Chécy 45430;  610
Chelles 77500; 4 820
Chemillé-Melay 49120; 1 520
Chennevières-sur-Marne 94430; 1 510
Chenôve 21300; 1 770
Cherbourg-Octeville 50100; 6 380
Chessy 77700;  660
Chevigny-Saint-Sauveur 21800;  870
Chevilly-Larue 94550; 1 780
Chevreuse 78460;  300
Chilly-Mazarin 91380; 1 780
Chinon 37500;  810
Choisy-le-Roi 94600; 4 510
Cholet 49300; 5 180
Ciboure 64500;  650
Cilaos 97413; 1 470
Claix 38640;  430
Clamart 92140; 4 240
Clapiers 34830;  410
Claye-Souilly 77410;  890
Cléon 76410;  560
Clermont 60600;  990
Clermont-Ferrand 63000; 15 340
Clermont-l'Hérault 34800; 1 370
Clichy 92110; 6 560
Clichy-sous-Bois 93390; 3 120
Clisson 44190;  580
Cloyes-les-Trois-Rivières 28220;  360
Cluny 71250;  310
Cluses 74300; 2 090
Cognac 16100; 2 020
Cognin 73160;  540
Cogolin 83310; 1 810
Colmar 68000; 6 770
Colombelles 14460;  960
Colombes 92700; 8 760
Colomiers 31770; 3 810
Combourg 35270;  480
Combs-la-Ville 77380; 1 980
Comines 59560; 1 090
Commentry 03600;  620
Commercy 55200;  710
Compiègne 60200; 4 260
Concarneau 29900; 1 820
Conches-en-Ouche 27190;  430
Condat-sur-Vienne 87920;  370
Condé-sur-l'Escaut 59163; 1 350
Condé-sur-Noireau 14110;  530
Condom 32100;  720
Conflans-Sainte-Honorine 78700; 2 920
Contes 06390;  510
Corbas 69960;  810
Corbeil-Essonnes 91100; 5 750
Corbie 80800;  530
Cormeilles-en-Parisis 95240; 1 920
Cormelles-le-Royal 14123;  420
Cormontreuil 51350;  400
Cornebarrieu 31700;  910
Corte 20250;  400
Cosne-Cours-sur-Loire 58200;  840
Coublevie 38500;  330
Coubron 93470;  310
Coudekerque-Branche 59210; 2 170
Couëron 44220; 1 720
Coulaines 72190; 1 030
Coulogne 62137;  510
Coulommiers 77120; 1 490
Coulounieix-Chamiers 24660;  720
Courbevoie 92400; 6 340
Courcelles-lès-Lens 62970;  830
Courdimanche 95800;  560
Cournon-d'Auvergne 63800; 1 440
Cournonterral 34660;  720
Courrières 62710;  970
Coursan 11110;  700
Courthézon 84350;  630
Courtry 77181;  460
Coutances 50200;  790
Coutras 33230;  970
Couzeix 87270;  570
Cranves-Sales 74380;  530
Craponne 69290;  810
Crégy-lès-Meaux 77124;  410
Creil 60100; 4 220
Crépy-en-Valois 60800; 1 220
Crest 26400; 1 310
Créteil 94000; 8 290
Creutzwald 57150; 1 410
Croissy-sur-Seine 78290;  630
Croix 59170; 2 050
Crolles 38190;  480
Crosne 91560;  620
Crozon 29160;  690
Cruseilles 74350;  410
Cucq 62780;  370
Cuers 83390;  950
Cuges-les-Pins 13780;  570
Cugnaux 31270; 2 150
Cuincy 59553;  660
Cusset 03300; 1 310
Dainville 62000;  340
Dammarie-les-Lys 77190; 2 880
Dammartin-en-Goële 77230;  820
Dardilly 69570;  580
Darnétal 76160; 1 180
Dax 40100; 2 970
Decazeville 12300;  570
Dechy 59187;  710
Décines-Charpieu 69150; 2 720
Decize 58300;  380
Delle 90100;  700
Denain 59220; 3 670
Déols 36130;  600
Desvres 62240;  460
Deuil-la-Barre 95170; 2 090
Déville-lès-Rouen 76250; 1 320
Die 26150;  680
Dieppe 76200; 3 530
Digne-les-Bains 04000; 1 930
Digoin 71160;  770
Dijon 21000; 15 460
Dinan 22100; 1 600
Dinard 35800;  910
Dives-sur-Mer 14160;  470
Divion 62460;  770
Divonne-les-Bains 01220;  700
Dol-de-Bretagne 35120;  520
